chunk_id,doc_id,chunk_text,effective_date,exported_at
policy_refund_v4_1_3b11f30cc4b49d25,policy_refund_v4,Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.,2026-02-01,2026-04-10T08:00:00
sla_p1_2026_2_e92d70e835ec2a71,sla_p1_2026,Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.,2026-02-01,2026-04-10T08:00:00
it_helpdesk_faq_3_c5b9454f39aaeb90,it_helpdesk_faq,Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.,2026-02-01,2026-04-10T08:00:00
hr_leave_policy_4_31581e00a638ac0d,hr_leave_policy,Nhân viên dưới 3 năm kinh nghiệm được 12 ngày phép năm theo chính sách 2026.,2026-02-01,2026-04-10T08:00:00
it_helpdesk_faq_5_74bc2a3cec7e24e0,it_helpdesk_faq,FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.,2026-02-01,2026-04-10T08:00:00
it_helpdesk_faq_6_bb22393f62022507,it_helpdesk_faq,Vui lòng liên hệ hỗ trợ tại [REDACTED_EMAIL] nếu gặp sự cố.,2026-02-01,2026-04-10T08:00:00
policy_refund_v4_7_87dc322ee4de7f67,policy_refund_v4,"""Chính sách hoàn tiền mới"" áp dụng cho tất cả đơn hàng từ 2026.",2026-02-01,2026-04-10T08:00:00
policy_refund_v4_8_7fab1ee922e8ff52,policy_refund_v4,Chính sách 14 ngày làm việc cần được fix tự động.,2026-02-01,2026-04-10T08:00:00
sla_p1_2026_9_276e0ebf2dc01c9a,sla_p1_2026,Resolution 4 giờ cần được fix sang 2 giờ.,2026-02-01,2026-04-10T08:00:00
it_helpdesk_faq_10_f35214f09f37a6a0,it_helpdesk_faq,Liên hệ [REDACTED_EMAIL] để được trợ giúp.,2026-02-01,2026-04-10T08:00:00
